,게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수코드,선발,구원,완투,종료,결과_x,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP,결과_y
3,20160401HHLG0,20160401,LG,HH,0,B,62698,1,0,0,0, ,0,18,94,28,25,9,2,0,0,0,0,2,0,1,0,0,4,1,0,0,0,4,4,0.818181818,1.588235294,3.75,1
8,20160401HHLG0,20160401,HH,LG,0,T,73801,1,0,0,0, ,0,9,57,15,14,5,1,0,1,1,0,0,0,1,0,0,4,0,0,0,0,3,3,1.5,1.5,1.5,0
13,20160401HTNC0,20160401,NC,HT,0,B,63938,1,0,0,0, ,0,17,85,25,23,7,2,0,1,0,0,0,0,1,0,1,5,1,2,0,0,4,4,1.2,1.125,2.4,1
16,20160401HTNC0,20160401,HT,NC,0,T,77637,1,0,0,0, ,0,18,112,26,22,6,2,0,2,0,0,0,0,4,0,0,7,1,0,0,0,4,4,0.0,1.588235294,2.0,0
21,20160401KTSK0,20160401,KT,SK,0,T,66049,1,0,0,0,W,0,18,106,25,25,7,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,4,3.0,1.75,0.0,1
26,20160401KTSK0,20160401,SK,KT,0,B,77829,1,0,0,0,L,0,14,91,26,22,9,0,0,2,2,0,0,1,2,0,1,4,0,0,0,0,7,7,1.5,2.357142857,1.8,0
28,20160401LTWO0,20160401,WO,LT,0,B,65331,1,0,0,0,L,0,18,90,26,26,9,2,0,0,1,0,0,0,0,0,0,5,2,0,0,0,2,1,0.3,1.5,1.285714286,0
29,20160401LTWO0,20160401,LT,WO,0,T,65543,1,0,0,0,W,0,18,98,26,21,4,1,0,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0.0,1.5,1.5,1
37,20160401OBSS0,20160401,OB,SS,0,T,61240,1,0,0,0,W,0,18,101,23,22,6,0,0,0,1,1,0,0,1,0,0,5,1,0,0,0,1,1,1.5,2.0,3.0,1
41,20160401OBSS0,20160401,SS,OB,0,B,76455,1,0,0,0,L,0,18,110,25,21,5,0,0,1,2,1,0,1,3,0,0,1,1,0,0,1,4,3,0.6,2.5714285709999998,2.4,0
50,20160402HHLG0,20160402,HH,LG,0,T,66741,1,0,0,0, ,0,5,42,9,7,4,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,3,3,0.0,3.6,3.0,0
55,20160402HHLG0,20160402,LG,HH,0,B,73117,1,0,0,0, ,0,15,86,22,19,5,2,0,0,0,1,0,0,1,0,2,4,0,0,0,0,3,3,0.75,1.0,1.0,1
64,20160402HTNC0,20160402,NC,HT,0,B,65931,1,0,0,0,L,0,15,93,25,22,7,2,0,0,1,0,0,0,3,0,0,2,0,0,0,0,3,3,5.0,1.928571429,3.75,0
66,20160402HTNC0,20160402,HT,NC,0,T,66643,1,0,0,0,W,0,21,111,28,26,6,1,0,0,1,0,0,0,1,0,1,3,1,0,0,0,1,1,0.75,0.75,0.857142857,1
70,20160402KTSK0,20160402,KT,SK,0,T,60264,1,0,0,0, ,0,8,49,14,12,5,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,3,3,1.0,2.25,12.0,0
74,20160402KTSK0,20160402,SK,KT,0,B,65856,1,0,0,0, ,0,18,99,26,24,7,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,3,2,3.0,1.5,0.428571429,1
81,20160402LTWO0,20160402,LT,WO,0,T,65546,1,0,0,0,L,0,17,89,24,20,6,0,0,0,1,1,0,0,3,0,1,4,1,0,0,0,4,4,2.25,1.588235294,1.714285714,0
82,20160402LTWO0,20160402,WO,LT,0,B,66323,1,0,0,0,W,0,15,93,21,17,2,1,0,0,2,0,0,0,4,0,0,5,0,0,0,0,1,1,2.0,1.2,0.5,1
91,20160402OBSS0,20160402,SS,OB,0,B,66402,1,0,0,0, ,0,15,75,23,20,6,3,0,1,1,0,0,0,3,0,0,3,1,0,1,0,4,4,0.857142857,1.8,4.5,1
96,20160402OBSS0,20160402,OB,SS,0,T,79229,1,0,0,0, ,0,16,92,28,25,12,2,0,1,0,0,2,0,1,0,0,4,1,0,0,0,5,5,2.25,2.4375,3.0,0
97,20160403KTSK0,20160403,SK,KT,0,B,60841,1,0,0,0, ,0,18,112,25,19,1,1,0,0,0,0,0,0,5,0,1,8,0,0,0,1,2,2,1.5,1.0,0.857142857,0
101,20160403KTSK0,20160403,KT,SK,0,T,66032,1,0,0,0,W,0,20,107,25,22,5,1,0,0,1,1,0,1,1,0,1,3,0,0,0,0,2,2,1.2,0.833333333,1.285714286,1
109,20160403LTWO0,20160403,WO,LT,0,B,65348,1,0,0,0, ,0,15,71,21,20,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1.5,1.5,0.0,1
117,20160403LTWO0,20160403,LT,WO,0,T,77591,1,0,0,0, ,0,14,92,22,20,7,1,0,0,2,0,0,0,2,0,0,4,0,1,0,0,5,5,3.0,3.0,0.857142857,0
120,20160405LGHT0,20160405,LG,HT,0,T,63111,1,0,0,0,L,0,18,99,25,22,6,1,0,1,0,0,0,0,3,0,0,9,2,1,0,0,4,2,2.0,1.588235294,0.75,0
121,20160405LGHT0,20160405,HT,LG,0,B,75620,1,0,0,0,W,0,18,96,24,23,5,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,1,1.0,1.0,0.375,1
125,20160405NCOB0,20160405,NC,OB,0,T,61323,1,0,0,0,L,0,7,62,15,10,4,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,6,6,12.0,3.0,2.25,0
130,20160405NCOB0,20160405,OB,NC,0,B,74513,1,0,0,0,W,0,18,104,27,21,4,0,0,0,0,0,0,0,5,0,1,7,1,0,0,0,2,2,1.8,1.0,2.4,1
134,20160405SKLT0,20160405,SK,LT,0,T,63810,1,0,0,0,L,0,21,93,29,27,4,0,0,0,0,0,0,0,1,0,1,7,0,1,0,1,2,2,0.428571429,0.7142857140000001,0.857142857,0
135,20160405SKLT0,20160405,LT,SK,0,B,64021,1,0,0,0,W,0,19,102,22,20,2,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0.0,0.473684211,0.428571429,1
145,20160405SSKT0,20160405,SS,KT,0,T,66440,1,0,0,0,L,0,8,68,19,11,5,1,0,0,0,0,0,2,6,0,0,1,0,0,0,0,5,5,2.5,4.714285714,3.0,0
146,20160405SSKT0,20160405,KT,SS,0,B,67845,1,0,0,0,W,0,15,99,24,21,5,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,1.285714286,0.75,0.375,1
154,20160405WOHH0,20160405,HH,WO,0,B,66748,1,0,0,0, ,0,14,109,26,20,6,0,0,1,2,0,0,0,5,0,1,5,1,3,0,1,5,3,3.0,2.357142857,1.8,1
158,20160405WOHH0,20160405,WO,HH,0,T,75750,1,0,0,0,L,0,16,71,24,21,7,3,0,0,0,0,0,1,2,0,0,1,1,0,0,0,6,6,1.2,1.6875,1.5,0
161,20160406NCOB0,20160406,NC,OB,0,T,62929,1,0,0,0,L,0,17,94,23,21,4,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,2,2,0.428571429,0.882352941,0.428571429,0
164,20160406NCOB0,20160406,OB,NC,0,B,66226,1,0,0,0,W,0,24,102,26,25,2,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0.0,0.375,0.857142857,1
172,20160406SKLT0,20160406,SK,LT,0,T,74838,1,0,0,0,L,0,7,49,13,10,5,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,4,4,0.0,3.0,3.0,0
173,20160406SKLT0,20160406,LT,SK,0,B,79349,1,0,0,0, ,0,3,10,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1
175,20160406SSKT0,20160406,KT,SS,0,B,65058,1,0,0,0,L,0,12,81,24,20,7,1,0,0,1,0,1,0,3,0,0,1,0,1,1,0,7,3,0.857142857,1.8,10.5,0
178,20160406SSKT0,20160406,SS,KT,0,T,74454,1,0,0,0,W,0,18,89,25,24,4,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,4,4,6.0,0.428571429,0.857142857,1
184,20160406WOHH0,20160406,WO,HH,0,T,62937,1,0,0,0,W,0,21,89,27,26,8,3,0,1,1,0,1,0,0,0,0,5,1,1,0,0,3,3,0.666666667,1.5,1.5,1
187,20160406WOHH0,20160406,HH,WO,0,B,66741,1,0,0,0, ,0,5,38,10,6,2,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,1.5,3.0,3.0,0
198,20160407LGHT0,20160407,LG,HT,0,T,62698,1,0,0,0,W,0,15,72,21,21,7,4,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3,3,3.0,1.363636364,1.2,1
199,20160407LGHT0,20160407,HT,LG,0,B,66628,1,0,0,0,L,0,16,102,26,23,7,1,0,1,1,0,0,0,3,0,0,6,0,0,0,0,5,5,3.0,2.0,1.5,0
205,20160407NCOB0,20160407,NC,OB,0,T,63938,1,0,0,0,W,0,18,102,27,24,7,0,0,0,0,0,0,0,1,0,2,6,1,0,0,0,1,1,0.5,1.0,0.75,1
208,20160407NCOB0,20160407,OB,NC,0,B,73211,1,0,0,0,L,0,8,77,19,17,9,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,6,6.0,3.857142857,6.0,0
214,20160407SKLT0,20160407,LT,SK,0,B,65543,1,0,0,0,L,0,16,102,27,24,10,1,0,3,2,1,0,1,1,0,1,3,0,0,0,0,7,7,3.0,1.6666666669999999,1.5,0
218,20160407SKLT0,20160407,SK,LT,0,T,77829,1,0,0,0,W,0,21,102,25,24,3,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,1,0.0,0.666666667,0.375,1
222,20160407SSKT0,20160407,KT,SS,0,B,65056,1,0,0,0,L,0,13,93,21,19,6,1,0,1,2,0,0,0,2,0,0,2,0,0,0,0,2,2,0.428571429,1.846153846,2.25,0
226,20160407SSKT0,20160407,SS,KT,0,T,76455,1,0,0,0,W,0,21,108,28,25,3,1,0,0,0,0,0,0,3,0,0,8,0,1,0,0,1,1,2.0,0.857142857,1.0,1
229,20160407WOHH0,20160407,WO,HH,0,T,65331,1,0,0,0,W,0,18,92,24,24,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,2.0,0.857142857,1
233,20160407WOHH0,20160407,HH,WO,0,B,73801,1,0,0,0,L,0,16,101,24,21,5,0,1,2,1,0,0,0,3,0,0,2,0,1,0,0,5,5,4.5,2.25,1.5,0
241,20160408HHNC0,20160408,HH,NC,0,T,65764,1,0,0,0,L,0,11,91,19,15,4,1,0,1,1,0,0,0,4,0,0,4,0,1,0,0,3,3,0.857142857,2.1818181819999998,3.0,0
242,20160408HHNC0,20160408,NC,HH,0,B,65931,1,0,0,0,W,0,21,103,28,23,4,1,0,1,0,0,0,0,4,0,1,6,1,0,0,0,2,2,1.5,1.0,1.8,1
250,20160408HTKT0,20160408,KT,HT,0,B,66049,1,0,0,0,W,0,21,113,26,23,3,0,0,0,1,0,0,0,3,0,0,5,1,0,0,0,0,0,0.0,0.833333333,0.375,1
252,20160408HTKT0,20160408,HT,KT,0,T,77637,1,0,0,0,L,0,21,104,30,28,8,2,0,0,1,0,1,0,1,0,0,2,3,0,1,1,4,2,0.857142857,1.6875,1.5,0
256,20160408LGSK0,20160408,SK,LG,0,B,65856,1,0,0,0, ,0,24,101,29,27,4,0,0,1,0,0,0,0,2,0,0,4,1,0,0,0,2,2,0.75,0.75,1.285714286,1
257,20160408LGSK0,20160408,LG,SK,0,T,73117,1,0,0,0, ,0,20,80,27,25,6,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,1,0.0,1.05,0.375,0
262,20160408SSLT0,20160408,LT,SS,0,B,65546,1,0,0,0,L,0,18,114,28,24,6,1,0,1,0,0,1,0,2,0,1,7,0,0,0,0,5,1,3.0,3.0,1.5,0
263,20160408SSLT0,20160408,SS,LT,0,T,66402,1,0,0,0,W,0,21,111,27,25,6,1,0,1,1,0,0,0,2,0,0,8,2,0,0,0,2,2,0.75,1.0,1.285714286,1
272,20160408WOOB0,20160408,OB,WO,0,B,61240,1,0,0,0,W,0,19,107,24,22,5,0,0,1,2,1,0,0,2,0,0,11,1,2,0,0,2,2,1.0,1.5,2.0,1
273,20160408WOOB0,20160408,WO,OB,0,T,66323,1,0,0,0,L,0,15,96,23,18,5,2,0,1,1,1,0,1,4,0,0,4,0,0,0,0,4,4,1.714285714,2.625,1.285714286,0
277,20160409HHNC0,20160409,NC,HH,0,B,60263,1,0,0,0,W,0,24,96,29,26,7,0,0,0,0,1,1,0,2,0,0,7,3,0,0,0,1,1,1.5,1.0,1.285714286,1
281,20160409HHNC0,20160409,HH,NC,0,T,74731,1,0,0,0,L,0,11,69,17,16,6,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4,4,1.5,1.5,3.0,0
285,20160409HTKT0,20160409,KT,HT,0,B,60264,1,0,0,0, ,0,18,103,24,22,4,1,0,0,0,0,0,0,1,0,1,5,0,0,1,0,1,1,1.0,0.833333333,0.375,0
