,시즌,선수코드,선수명,팀코드,팀명,연봉
0,2016,60100,백창수,LG,LG,4000.0
1,2016,60105,배민관,LG,LG,2700.0
2,2016,60146,이승현,LG,LG,3700.0
3,2016,60164,유경국,LG,LG,2700.0
4,2016,60181,김지용,LG,LG,4000.0
5,2016,60255,장민익,OB,두산,2800.0
6,2016,60263,이재학,NC,NC,20000.0
7,2016,60264,정대현,KT,KT,6300.0
8,2016,60304,이창섭,NC,NC,3000.0
9,2016,60337,김대유,SK,SK,2700.0
10,2016,60339,김정훈,WO,키움,3400.0
11,2016,60342,정회찬,WO,키움,2700.0
12,2016,60343,이해창,KT,KT,2900.0
13,2016,60404,송주호,HH,한화,4000.0
14,2016,60441,임진우,OB,두산,3700.0
15,2016,60454,정민우,SS,삼성,2900.0
16,2016,60456,백상원,SS,삼성,4500.0
17,2016,60457,김현우,SS,삼성,4500.0
18,2016,60464,문선엽,SS,삼성,2800.0
19,2016,60496,김선민,KT,KT,3200.0
20,2016,60523,정훈,LT,롯데,21000.0
21,2016,60558,오승택,LT,롯데,7000.0
22,2016,60559,박시영,LT,롯데,2700.0
23,2016,60566,이상호,NC,NC,4800.0
24,2016,60605,홍재호,HT,KIA,3400.0
25,2016,60634,임기준,HT,KIA,3300.0
26,2016,60636,심동섭,HT,KIA,14000.0
27,2016,60648,이인행,HT,KIA,3000.0
28,2016,60658,최병연,HT,KIA,3000.0
29,2016,60667,이종환,HH,한화,6200.0
30,2016,60713,안승민,HH,한화,7000.0
31,2016,60724,이상훈,SS,삼성,3500.0
32,2016,60757,김경태,HH,한화,3000.0
33,2016,60764,김용주,HH,한화,3000.0
34,2016,60768,이태양,HH,한화,6500.0
35,2016,60805,최윤석,HH,한화,5700.0
36,2016,60841,박종훈,SK,SK,7000.0
37,2016,60845,문광은,SK,SK,6000.0
38,2016,60848,최원재,KT,KT,4600.0
39,2016,60864,이상백,SK,SK,3200.0
40,2016,60865,안정광,KT,KT,2900.0
41,2016,60949,이창호,LG,LG,2700.0
42,2016,61101,임찬규,LG,LG,4800.0
43,2016,61102,유강남,LG,LG,8100.0
44,2016,61108,강병의,LG,LG,3000.0
45,2016,61114,김재율,LG,LG,2900.0
46,2016,61145,이영재,LG,LG,2700.0
47,2016,61186,이천웅,LG,LG,2800.0
48,2016,61194,이민재,LG,LG,3400.0
49,2016,61197,최영진,OB,두산,3000.0
50,2016,61204,김동한,LT,롯데,3200.0
51,2016,61208,정진호,OB,두산,5200.0
52,2016,61214,이현호,OB,두산,6800.0
53,2016,61215,안규영,OB,두산,3000.0
54,2016,61240,니퍼트,OB,두산,132000.0
55,2016,61295,강동연,OB,두산,2800.0
56,2016,61323,이태양,NC,NC,10000.0
57,2016,61329,윤지웅,LG,LG,12500.0
58,2016,61353,고종욱,WO,키움,7700.0
59,2016,61365,김대우,SS,삼성,11000.0
60,2016,61366,홍성갑,WO,키움,3200.0
61,2016,61396,박정준,WO,키움,2700.0
62,2016,61411,심창민,SS,삼성,14000.0
63,2016,61457,임현준,SS,삼성,3300.0
64,2016,61463,김정혁,SS,삼성,3300.0
65,2016,61492,정우양,SS,삼성,2700.0
66,2016,61527,김명성,OB,두산,3200.0
67,2016,61554,김민하,LT,롯데,4000.0
68,2016,61557,이정담,SK,SK,2700.0
69,2016,61569,이경우,LT,롯데,2800.0
70,2016,61591,김사훈,LT,롯데,2900.0
71,2016,61643,홍건희,HT,KIA,4500.0
72,2016,61652,윤정우,HT,KIA,2900.0
73,2016,61665,우병걸,SS,삼성,2700.0
74,2016,61666,한승혁,HT,KIA,7000.0
75,2016,61700,강경학,HH,한화,6500.0
76,2016,61715,유창식,HT,KIA,6000.0
77,2016,61742,나성용,SS,삼성,3700.0
